teamname,split,result,totalgold,teamkills,teamdeaths,towers,dragons,barons
RED Canids,,0,15081,18,11,,,
RED Canids,,0,20804,18,11,,,
RED Canids,,0,20964,18,11,,,
RED Canids,,0,11760,18,11,,,
Vivo Keyd,,1,19013,11,18,,,
Vivo Keyd,,1,16243,11,18,,,
Vivo Keyd,,1,21824,11,18,,,
Vivo Keyd,,1,20146,11,18,,,
Vivo Keyd,,1,12830,11,18,,,
RED Canids,,0,85376,18,11,4.0,2.0,1.0
Vivo Keyd,,1,90056,11,18,11.0,4.0,3.0
Vivo Keyd,,1,14338,12,2,,,
Vivo Keyd,,1,10953,12,2,,,
Vivo Keyd,,1,15718,12,2,,,
Vivo Keyd,,1,14604,12,2,,,
Vivo Keyd,,1,8423,12,2,,,
RED Canids,,0,11043,2,12,,,
RED Canids,,0,8670,2,12,,,
RED Canids,,0,10601,2,12,,,
RED Canids,,0,11870,2,12,,,
RED Canids,,0,6157,2,12,,,
Vivo Keyd,,1,64036,12,2,9.0,4.0,1.0
RED Canids,,0,48341,2,12,0.0,0.0,0.0
KaBuM! e-Sports,,1,15614,12,7,,,
KaBuM! e-Sports,,1,13611,12,7,,,
KaBuM! e-Sports,,1,14902,12,7,,,
KaBuM! e-Sports,,1,16122,12,7,,,
KaBuM! e-Sports,,1,8989,12,7,,,
Vivo Keyd,,0,12280,7,12,,,
Vivo Keyd,,0,10176,7,12,,,
Vivo Keyd,,0,14386,7,12,,,
Vivo Keyd,,0,14202,7,12,,,
Vivo Keyd,,0,7864,7,12,,,
KaBuM! e-Sports,,1,69238,12,7,9.0,0.0,1.0
Vivo Keyd,,0,58908,7,12,4.0,3.0,1.0
Vivo Keyd,,1,13800,18,8,,,
Vivo Keyd,,1,11554,18,8,,,
Vivo Keyd,,1,14682,18,8,,,
Vivo Keyd,,1,15359,18,8,,,
Vivo Keyd,,1,9057,18,8,,,
KaBuM! e-Sports,,0,11413,8,18,,,
KaBuM! e-Sports,,0,9664,8,18,,,
KaBuM! e-Sports,,0,11342,8,18,,,
KaBuM! e-Sports,,0,12443,8,18,,,
KaBuM! e-Sports,,0,7778,8,18,,,
Vivo Keyd,,1,64452,18,8,9.0,1.0,1.0
KaBuM! e-Sports,,0,52640,8,18,1.0,1.0,0.0
KaBuM! e-Sports,,1,18144,16,15,,,
KaBuM! e-Sports,,1,14031,16,15,,,
KaBuM! e-Sports,,1,17437,16,15,,,
KaBuM! e-Sports,,1,18256,16,15,,,
KaBuM! e-Sports,,1,10934,16,15,,,
Vivo Keyd,,0,15307,15,16,,,
Vivo Keyd,,0,12366,15,16,,,
Vivo Keyd,,0,15681,15,16,,,
Vivo Keyd,,0,16236,15,16,,,
Vivo Keyd,,0,9592,15,16,,,
KaBuM! e-Sports,,1,78802,16,15,10.0,3.0,1.0
Vivo Keyd,,0,69182,15,16,6.0,2.0,2.0
Vivo Keyd,,1,13228,24,8,,,
Vivo Keyd,,1,10593,24,8,,,
Vivo Keyd,,1,11733,24,8,,,
Vivo Keyd,,1,17082,24,8,,,
Vivo Keyd,,1,9320,24,8,,,
KaBuM! e-Sports,,0,10548,8,24,,,
KaBuM! e-Sports,,0,9457,8,24,,,
KaBuM! e-Sports,,0,11530,8,24,,,
KaBuM! e-Sports,,0,10624,8,24,,,
KaBuM! e-Sports,,0,6435,8,24,,,
Vivo Keyd,,1,61956,24,8,10.0,2.0,1.0
KaBuM! e-Sports,,0,48594,8,24,2.0,1.0,0.0
KaBuM! e-Sports,,1,11248,14,2,,,
KaBuM! e-Sports,,1,9668,14,2,,,
KaBuM! e-Sports,,1,11958,14,2,,,
KaBuM! e-Sports,,1,13302,14,2,,,
KaBuM! e-Sports,,1,7935,14,2,,,
Vivo Keyd,,0,9613,2,14,,,
Vivo Keyd,,0,6771,2,14,,,
Vivo Keyd,,0,8442,2,14,,,
Vivo Keyd,,0,8349,2,14,,,
Vivo Keyd,,0,4911,2,14,,,
KaBuM! e-Sports,,1,54111,14,2,10.0,2.0,1.0
Vivo Keyd,,0,38086,2,14,0.0,0.0,0.0
INTZ,,1,13222,5,4,,,
INTZ,,1,13217,5,4,,,
INTZ,,1,16864,5,4,,,
INTZ,,1,18491,5,4,,,
INTZ,,1,8800,5,4,,,
ProGaming Esports,,0,16771,4,5,,,
ProGaming Esports,,0,10377,4,5,,,
ProGaming Esports,,0,12979,4,5,,,
ProGaming Esports,,0,14115,4,5,,,
ProGaming Esports,,0,8369,4,5,,,
INTZ,,1,70594,5,4,11.0,3.0,2.0
ProGaming Esports,,0,62611,4,5,4.0,2.0,0.0
INTZ,,1,13015,10,4,,,
INTZ,,1,12510,10,4,,,
INTZ,,1,15106,10,4,,,
INTZ,,1,13379,10,4,,,
INTZ,,1,7756,10,4,,,
ProGaming Esports,,0,13083,4,10,,,
ProGaming Esports,,0,8266,4,10,,,
ProGaming Esports,,0,10961,4,10,,,
ProGaming Esports,,0,11398,4,10,,,
ProGaming Esports,,0,5939,4,10,,,
INTZ,,1,61766,10,4,10.0,2.0,2.0
ProGaming Esports,,0,49647,4,10,2.0,0.0,0.0
Team oNe eSports,,0,8787,2,11,,,
Team oNe eSports,,0,6720,2,11,,,
Team oNe eSports,,0,8436,2,11,,,
Team oNe eSports,,0,7686,2,11,,,
Team oNe eSports,,0,4950,2,11,,,
ProGaming Esports,,1,10795,11,2,,,
ProGaming Esports,,1,9431,11,2,,,
ProGaming Esports,,1,10599,11,2,,,
ProGaming Esports,,1,11468,11,2,,,
ProGaming Esports,,1,7738,11,2,,,
Team oNe eSports,,0,36579,2,11,0.0,1.0,0.0
ProGaming Esports,,1,50031,11,2,9.0,2.0,1.0
ProGaming Esports,,1,10103,11,6,,,
ProGaming Esports,,1,9427,11,6,,,
ProGaming Esports,,1,12588,11,6,,,
ProGaming Esports,,1,14093,11,6,,,
ProGaming Esports,,1,7516,11,6,,,
Team oNe eSports,,0,9062,6,11,,,
Team oNe eSports,,0,6923,6,11,,,
Team oNe eSports,,0,10201,6,11,,,
Team oNe eSports,,0,10637,6,11,,,
Team oNe eSports,,0,6160,6,11,,,
ProGaming Esports,,1,53727,11,6,11.0,2.0,1.0
Team oNe eSports,,0,42983,6,11,0.0,1.0,0.0
Team oNe eSports,,0,11810,7,21,,,
Team oNe eSports,,0,7980,7,21,,,
Team oNe eSports,,0,10858,7,21,,,
Team oNe eSports,,0,11327,7,21,,,
Team oNe eSports,,0,6324,7,21,,,
Flamengo Esports,,1,12434,21,7,,,
Flamengo Esports,,1,11109,21,7,,,
Flamengo Esports,,1,12789,21,7,,,
Flamengo Esports,,1,17838,21,7,,,
Flamengo Esports,,1,8578,21,7,,,
Team oNe eSports,,0,48299,7,21,2.0,0.0,0.0
Flamengo Esports,,1,62748,21,7,11.0,3.0,1.0
Team oNe eSports,,0,11619,1,15,,,
Team oNe eSports,,0,8200,1,15,,,
Team oNe eSports,,0,11410,1,15,,,
Team oNe eSports,,0,12585,1,15,,,
Team oNe eSports,,0,6818,1,15,,,
Flamengo Esports,,1,12462,15,1,,,
Flamengo Esports,,1,10294,15,1,,,
Flamengo Esports,,1,14825,15,1,,,
Flamengo Esports,,1,17183,15,1,,,
Flamengo Esports,,1,9656,15,1,,,
Team oNe eSports,,0,50632,1,15,2.0,0.0,0.0
Flamengo Esports,,1,64420,15,1,11.0,3.0,1.0
Flamengo Esports,,0,8153,6,13,,,
Flamengo Esports,,0,7841,6,13,,,
Flamengo Esports,,0,9156,6,13,,,
Flamengo Esports,,0,8465,6,13,,,
Flamengo Esports,,0,5889,6,13,,,
Team oNe eSports,,1,12470,13,6,,,
Team oNe eSports,,1,8812,13,6,,,
Team oNe eSports,,1,9350,13,6,,,
Team oNe eSports,,1,12200,13,6,,,
Team oNe eSports,,1,8151,13,6,,,
Flamengo Esports,,0,39504,6,13,1.0,1.0,0.0
Team oNe eSports,,1,50983,13,6,9.0,1.0,1.0
Team oNe eSports,,1,15262,17,12,,,
Team oNe eSports,,1,11263,17,12,,,
Team oNe eSports,,1,13250,17,12,,,
Team oNe eSports,,1,13997,17,12,,,
Team oNe eSports,,1,8374,17,12,,,
Flamengo Esports,,0,11137,12,17,,,
Flamengo Esports,,0,9931,12,17,,,
Flamengo Esports,,0,11698,12,17,,,
Flamengo Esports,,0,13012,12,17,,,
Flamengo Esports,,0,8369,12,17,,,
Team oNe eSports,,1,62146,17,12,9.0,2.0,1.0
Flamengo Esports,,0,54147,12,17,3.0,1.0,0.0
Team oNe eSports,,0,16496,15,21,,,
Team oNe eSports,,0,16615,15,21,,,
Team oNe eSports,,0,20605,15,21,,,
Team oNe eSports,,0,22977,15,21,,,
Team oNe eSports,,0,14010,15,21,,,
Flamengo Esports,,1,19835,21,15,,,
Flamengo Esports,,1,17879,21,15,,,
Flamengo Esports,,1,22347,21,15,,,
Flamengo Esports,,1,25083,21,15,,,
Flamengo Esports,,1,13360,21,15,,,
Team oNe eSports,,0,90703,15,21,7.0,3.0,1.0
Flamengo Esports,,1,98504,21,15,11.0,4.0,3.0
INTZ,Split 2,1,11223,17,7,,,
INTZ,Split 2,1,10373,17,7,,,
INTZ,Split 2,1,10957,17,7,,,
INTZ,Split 2,1,13281,17,7,,,
INTZ,Split 2,1,8836,17,7,,,
KaBuM! e-Sports,Split 2,0,9707,7,17,,,
KaBuM! e-Sports,Split 2,0,9315,7,17,,,
KaBuM! e-Sports,Split 2,0,9688,7,17,,,
KaBuM! e-Sports,Split 2,0,12229,7,17,,,
KaBuM! e-Sports,Split 2,0,5946,7,17,,,
INTZ,Split 2,1,54670,17,7,11.0,1.0,1.0
KaBuM! e-Sports,Split 2,0,46885,7,17,3.0,2.0,0.0
KaBuM! e-Sports,Split 2,1,14158,22,10,,,
KaBuM! e-Sports,Split 2,1,13290,22,10,,,
KaBuM! e-Sports,Split 2,1,13487,22,10,,,
KaBuM! e-Sports,Split 2,1,14396,22,10,,,
KaBuM! e-Sports,Split 2,1,8571,22,10,,,
INTZ,Split 2,0,9150,10,22,,,
INTZ,Split 2,0,9463,10,22,,,
INTZ,Split 2,0,10892,10,22,,,
INTZ,Split 2,0,12310,10,22,,,
INTZ,Split 2,0,6739,10,22,,,
KaBuM! e-Sports,Split 2,1,63902,22,10,10.0,1.0,1.0
INTZ,Split 2,0,48554,10,22,0.0,1.0,0.0
INTZ,Split 2,1,13480,18,9,,,
INTZ,Split 2,1,10396,18,9,,,
INTZ,Split 2,1,14540,18,9,,,
INTZ,Split 2,1,15346,18,9,,,
INTZ,Split 2,1,9692,18,9,,,
KaBuM! e-Sports,Split 2,0,12841,9,18,,,
KaBuM! e-Sports,Split 2,0,10941,9,18,,,
KaBuM! e-Sports,Split 2,0,12388,9,18,,,
KaBuM! e-Sports,Split 2,0,12589,9,18,,,
KaBuM! e-Sports,Split 2,0,7824,9,18,,,
INTZ,Split 2,1,63454,18,9,10.0,1.0,2.0
KaBuM! e-Sports,Split 2,0,56583,9,18,3.0,2.0,0.0
Vivo Keyd,Split 2,1,12157,17,7,,,
Vivo Keyd,Split 2,1,11691,17,7,,,
Vivo Keyd,Split 2,1,13812,17,7,,,
Vivo Keyd,Split 2,1,11264,17,7,,,
Vivo Keyd,Split 2,1,9150,17,7,,,
ProGaming Esports,Split 2,0,9127,7,17,,,
ProGaming Esports,Split 2,0,7081,7,17,,,
ProGaming Esports,Split 2,0,8644,7,17,,,
ProGaming Esports,Split 2,0,8855,7,17,,,
ProGaming Esports,Split 2,0,5939,7,17,,,
Vivo Keyd,Split 2,1,58074,17,7,11.0,3.0,1.0
ProGaming Esports,Split 2,0,39646,7,17,0.0,0.0,0.0
ProGaming Esports,Split 2,0,11617,8,16,,,
ProGaming Esports,Split 2,0,9179,8,16,,,
ProGaming Esports,Split 2,0,12896,8,16,,,
ProGaming Esports,Split 2,0,12238,8,16,,,
ProGaming Esports,Split 2,0,7492,8,16,,,
Vivo Keyd,Split 2,1,13687,16,8,,,
Vivo Keyd,Split 2,1,9788,16,8,,,
Vivo Keyd,Split 2,1,12944,16,8,,,
Vivo Keyd,Split 2,1,16129,16,8,,,
Vivo Keyd,Split 2,1,7825,16,8,,,
ProGaming Esports,Split 2,0,53422,8,16,5.0,2.0,0.0
Vivo Keyd,Split 2,1,60373,16,8,6.0,2.0,1.0
CNB e-Sports Club,Split 2,1,12694,14,11,,,
CNB e-Sports Club,Split 2,1,11232,14,11,,,
CNB e-Sports Club,Split 2,1,14824,14,11,,,
CNB e-Sports Club,Split 2,1,13909,14,11,,,
CNB e-Sports Club,Split 2,1,9657,14,11,,,
RED Canids,Split 2,0,12770,11,14,,,
RED Canids,Split 2,0,10846,11,14,,,
RED Canids,Split 2,0,11550,11,14,,,
RED Canids,Split 2,0,13204,11,14,,,
RED Canids,Split 2,0,8528,11,14,,,
CNB e-Sports Club,Split 2,1,62316,14,11,11.0,3.0,1.0
RED Canids,Split 2,0,56898,11,14,4.0,0.0,0.0
RED Canids,Split 2,0,7882,2,11,,,
RED Canids,Split 2,0,6986,2,11,,,
RED Canids,Split 2,0,8285,2,11,,,
RED Canids,Split 2,0,9080,2,11,,,
RED Canids,Split 2,0,5466,2,11,,,
CNB e-Sports Club,Split 2,1,10441,11,2,,,
CNB e-Sports Club,Split 2,1,10196,11,2,,,
CNB e-Sports Club,Split 2,1,11065,11,2,,,
CNB e-Sports Club,Split 2,1,12020,11,2,,,
CNB e-Sports Club,Split 2,1,7053,11,2,,,
RED Canids,Split 2,0,37699,2,11,3.0,2.0,0.0
CNB e-Sports Club,Split 2,1,50775,11,2,11.0,1.0,1.0
Flamengo Esports,Split 2,0,17887,16,21,,,
Flamengo Esports,Split 2,0,13868,16,21,,,
Flamengo Esports,Split 2,0,17940,16,21,,,
Flamengo Esports,Split 2,0,18173,16,21,,,
Flamengo Esports,Split 2,0,10433,16,21,,,
Ilha da Macacada Gaming,Split 2,1,20620,21,16,,,
Ilha da Macacada Gaming,Split 2,1,15291,21,16,,,
Ilha da Macacada Gaming,Split 2,1,20549,21,16,,,
Ilha da Macacada Gaming,Split 2,1,15362,21,16,,,
Ilha da Macacada Gaming,Split 2,1,13080,21,16,,,
Flamengo Esports,Split 2,0,78301,16,21,5.0,4.0,0.0
Ilha da Macacada Gaming,Split 2,1,84902,21,16,9.0,1.0,3.0
Ilha da Macacada Gaming,Split 2,0,10381,1,10,,,
Ilha da Macacada Gaming,Split 2,0,7021,1,10,,,
Ilha da Macacada Gaming,Split 2,0,9260,1,10,,,
Ilha da Macacada Gaming,Split 2,0,9840,1,10,,,
Ilha da Macacada Gaming,Split 2,0,5474,1,10,,,
Flamengo Esports,Split 2,1,13397,10,1,,,
Flamengo Esports,Split 2,1,13997,10,1,,,
Flamengo Esports,Split 2,1,8266,10,1,,,
Flamengo Esports,Split 2,1,13852,10,1,,,
Flamengo Esports,Split 2,1,7798,10,1,,,
Ilha da Macacada Gaming,Split 2,0,41976,1,10,1.0,1.0,0.0
Flamengo Esports,Split 2,1,57310,10,1,10.0,3.0,1.0
Flamengo Esports,Split 2,0,10691,11,22,,,
Flamengo Esports,Split 2,0,9913,11,22,,,
Flamengo Esports,Split 2,0,11763,11,22,,,
Flamengo Esports,Split 2,0,12264,11,22,,,
Flamengo Esports,Split 2,0,6727,11,22,,,
Ilha da Macacada Gaming,Split 2,1,13307,22,11,,,
Ilha da Macacada Gaming,Split 2,1,11848,22,11,,,
Ilha da Macacada Gaming,Split 2,1,14121,22,11,,,
Ilha da Macacada Gaming,Split 2,1,15642,22,11,,,
Ilha da Macacada Gaming,Split 2,1,9351,22,11,,,
Flamengo Esports,Split 2,0,51358,11,22,2.0,0.0,0.0
Ilha da Macacada Gaming,Split 2,1,64269,22,11,10.0,3.0,1.0
ProGaming Esports,Split 2,1,16375,14,9,,,
ProGaming Esports,Split 2,1,12553,14,9,,,
ProGaming Esports,Split 2,1,14978,14,9,,,
ProGaming Esports,Split 2,1,13617,14,9,,,
ProGaming Esports,Split 2,1,10618,14,9,,,
RED Canids,Split 2,0,13614,9,14,,,
RED Canids,Split 2,0,12046,9,14,,,
RED Canids,Split 2,0,13944,9,14,,,
RED Canids,Split 2,0,13272,9,14,,,
RED Canids,Split 2,0,8074,9,14,,,
ProGaming Esports,Split 2,1,68141,14,9,8.0,5.0,1.0
RED Canids,Split 2,0,60950,9,14,6.0,0.0,0.0
RED Canids,Split 2,0,11066,13,18,,,
RED Canids,Split 2,0,11469,13,18,,,
RED Canids,Split 2,0,13118,13,18,,,
RED Canids,Split 2,0,11850,13,18,,,
RED Canids,Split 2,0,7941,13,18,,,
ProGaming Esports,Split 2,1,14759,18,13,,,
ProGaming Esports,Split 2,1,13079,18,13,,,
ProGaming Esports,Split 2,1,15080,18,13,,,
ProGaming Esports,Split 2,1,15652,18,13,,,
ProGaming Esports,Split 2,1,9193,18,13,,,
RED Canids,Split 2,0,55444,13,18,3.0,1.0,0.0
ProGaming Esports,Split 2,1,67763,18,13,10.0,3.0,1.0
Vivo Keyd,Split 2,1,13184,17,7,,,
Vivo Keyd,Split 2,1,10779,17,7,,,
Vivo Keyd,Split 2,1,14843,17,7,,,
Vivo Keyd,Split 2,1,11983,17,7,,,
Vivo Keyd,Split 2,1,8853,17,7,,,
INTZ,Split 2,0,9855,7,17,,,
INTZ,Split 2,0,9589,7,17,,,
INTZ,Split 2,0,8955,7,17,,,
INTZ,Split 2,0,10652,7,17,,,
INTZ,Split 2,0,6687,7,17,,,
Vivo Keyd,Split 2,1,59642,17,7,8.0,1.0,1.0
INTZ,Split 2,0,45738,7,17,1.0,2.0,0.0
INTZ,Split 2,0,12797,14,20,,,
INTZ,Split 2,0,12011,14,20,,,
INTZ,Split 2,0,12837,14,20,,,
INTZ,Split 2,0,12537,14,20,,,
INTZ,Split 2,0,8992,14,20,,,
Vivo Keyd,Split 2,1,15867,20,14,,,
Vivo Keyd,Split 2,1,13372,20,14,,,
Vivo Keyd,Split 2,1,14500,20,14,,,
Vivo Keyd,Split 2,1,14889,20,14,,,
Vivo Keyd,Split 2,1,10560,20,14,,,
INTZ,Split 2,0,59174,14,20,4.0,2.0,0.0
Vivo Keyd,Split 2,1,69188,20,14,7.0,2.0,2.0
KaBuM! e-Sports,Split 2,0,8765,2,14,,,
KaBuM! e-Sports,Split 2,0,7904,2,14,,,
KaBuM! e-Sports,Split 2,0,9044,2,14,,,
KaBuM! e-Sports,Split 2,0,9761,2,14,,,
KaBuM! e-Sports,Split 2,0,5744,2,14,,,
Flamengo Esports,Split 2,1,13046,14,2,,,
Flamengo Esports,Split 2,1,11275,14,2,,,
Flamengo Esports,Split 2,1,12951,14,2,,,
Flamengo Esports,Split 2,1,12650,14,2,,,
Flamengo Esports,Split 2,1,8909,14,2,,,
KaBuM! e-Sports,Split 2,0,41218,2,14,1.0,0.0,0.0
Flamengo Esports,Split 2,1,58831,14,2,10.0,4.0,1.0
Flamengo Esports,Split 2,0,16044,21,19,,,
Flamengo Esports,Split 2,0,20579,21,19,,,
Flamengo Esports,Split 2,0,18692,21,19,,,
Flamengo Esports,Split 2,0,19014,21,19,,,
Flamengo Esports,Split 2,0,13323,21,19,,,
KaBuM! e-Sports,Split 2,1,14470,19,21,,,
KaBuM! e-Sports,Split 2,1,19664,19,21,,,
KaBuM! e-Sports,Split 2,1,26387,19,21,,,
KaBuM! e-Sports,Split 2,1,22915,19,21,,,
KaBuM! e-Sports,Split 2,1,11938,19,21,,,
Flamengo Esports,Split 2,0,87652,21,19,9.0,2.0,0.0
KaBuM! e-Sports,Split 2,1,95374,19,21,7.0,4.0,3.0
KaBuM! e-Sports,Split 2,0,6630,5,13,,,
KaBuM! e-Sports,Split 2,0,10296,5,13,,,
KaBuM! e-Sports,Split 2,0,15497,5,13,,,
KaBuM! e-Sports,Split 2,0,8739,5,13,,,
KaBuM! e-Sports,Split 2,0,5683,5,13,,,
Flamengo Esports,Split 2,1,12885,13,5,,,
Flamengo Esports,Split 2,1,11188,13,5,,,
Flamengo Esports,Split 2,1,12051,13,5,,,
Flamengo Esports,Split 2,1,12380,13,5,,,
Flamengo Esports,Split 2,1,9220,13,5,,,
KaBuM! e-Sports,Split 2,0,46845,5,13,2.0,0.0,0.0
Flamengo Esports,Split 2,1,57724,13,5,11.0,4.0,1.0
Ilha da Macacada Gaming,Split 2,0,9925,4,10,,,
Ilha da Macacada Gaming,Split 2,0,8099,4,10,,,
Ilha da Macacada Gaming,Split 2,0,10044,4,10,,,
Ilha da Macacada Gaming,Split 2,0,9760,4,10,,,
Ilha da Macacada Gaming,Split 2,0,6694,4,10,,,
CNB e-Sports Club,Split 2,1,11290,10,4,,,
CNB e-Sports Club,Split 2,1,10177,10,4,,,
CNB e-Sports Club,Split 2,1,7275,10,4,,,
CNB e-Sports Club,Split 2,1,15164,10,4,,,
CNB e-Sports Club,Split 2,1,7453,10,4,,,
Ilha da Macacada Gaming,Split 2,0,44522,4,10,3.0,2.0,0.0
CNB e-Sports Club,Split 2,1,51359,10,4,6.0,1.0,1.0
CNB e-Sports Club,Split 2,1,12758,19,5,,,
CNB e-Sports Club,Split 2,1,12332,19,5,,,
CNB e-Sports Club,Split 2,1,10225,19,5,,,
CNB e-Sports Club,Split 2,1,11507,19,5,,,
CNB e-Sports Club,Split 2,1,10947,19,5,,,
Ilha da Macacada Gaming,Split 2,0,9482,5,19,,,
Ilha da Macacada Gaming,Split 2,0,7082,5,19,,,
Ilha da Macacada Gaming,Split 2,0,9495,5,19,,,
Ilha da Macacada Gaming,Split 2,0,7864,5,19,,,
Ilha da Macacada Gaming,Split 2,0,6514,5,19,,,
CNB e-Sports Club,Split 2,1,57769,19,5,11.0,3.0,1.0
Ilha da Macacada Gaming,Split 2,0,40437,5,19,1.0,0.0,0.0
INTZ,Split 2,0,11746,10,18,,,
INTZ,Split 2,0,10002,10,18,,,
INTZ,Split 2,0,12039,10,18,,,
INTZ,Split 2,0,11457,10,18,,,
INTZ,Split 2,0,7664,10,18,,,
Flamengo Esports,Split 2,1,11857,18,10,,,
Flamengo Esports,Split 2,1,16441,18,10,,,
Flamengo Esports,Split 2,1,14235,18,10,,,
Flamengo Esports,Split 2,1,12898,18,10,,,
Flamengo Esports,Split 2,1,9555,18,10,,,
INTZ,Split 2,0,52908,10,18,3.0,2.0,0.0
Flamengo Esports,Split 2,1,64986,18,10,10.0,2.0,1.0
Flamengo Esports,Split 2,0,10242,6,9,,,
Flamengo Esports,Split 2,0,8484,6,9,,,
Flamengo Esports,Split 2,0,8796,6,9,,,
Flamengo Esports,Split 2,0,9216,6,9,,,
Flamengo Esports,Split 2,0,5805,6,9,,,
INTZ,Split 2,1,10368,9,6,,,
INTZ,Split 2,1,7257,9,6,,,
INTZ,Split 2,1,13471,9,6,,,
INTZ,Split 2,1,12193,9,6,,,
INTZ,Split 2,1,8626,9,6,,,
Flamengo Esports,Split 2,0,42543,6,9,1.0,0.0,0.0
INTZ,Split 2,1,51915,9,6,9.0,3.0,1.0
Flamengo Esports,Split 2,1,17116,13,11,,,
Flamengo Esports,Split 2,1,13721,13,11,,,
Flamengo Esports,Split 2,1,14324,13,11,,,
Flamengo Esports,Split 2,1,17753,13,11,,,
Flamengo Esports,Split 2,1,11461,13,11,,,
INTZ,Split 2,0,12687,11,13,,,
INTZ,Split 2,0,11008,11,13,,,
INTZ,Split 2,0,14317,11,13,,,
INTZ,Split 2,0,14697,11,13,,,
